Name,Affiliation,Role,Twitter,Threads
Aarne Talman,SiloGen,Head of Technology,aarnetalman,aarnetalman
Abi Aryan,<stealth>,"MLE, author",GoAbiAryan,goabiaryan
Adi Polak,Prev Microsoft,SWE,AdiPolak,polak.code
Ahmad Beirami,Google,Large-Scale Generative AI,abeirami,beiramiab
AI Paper af,,papers,,aipaperaf
Aishwarya Anilkumar,Curiouser.ai,Research,gigglinggoblet,thegigglinggoblet
Aishwarya Srinivasan,Google,Data Scientist,Aishwarya_Sri0,the.datascience.gal
AK,Hugging Face,,_akhaliq,_akhaliq
Alena Harley,Tempus Labs,Director of Machine Learning,alenushka,alena.harley
Alethea Power,formerly OpenAI,Reasoning and Interpretability research,exteriorpower,exteriorpower
Alex Hughes,Loopin,CTO,alexjackhughes,alexjackhughes
Amr Nimer,Imperial College London,PhD AI in Healthcare,neuronimer,thenimer
Andrei Savu,Moonsense,Co-Founder & CEO,andreisavu,andrei_savu
Andrej Karpathy,OpenAI,Research,karpathy,karpathy
Andrew,Cartwheel,Chief generative officer,,carrandrew
Andrew Ng,Coursera/Stanford,cofounder/adjunct professor,AndrewYNg,andrew_y_ng
Angela Zhou,USC,Asst Prof,SHyperplane,separated_hyperplane
Anna Makanju,OpenAI,head fo Public Policy,annaadeola,rugerican
Anthony Shoumikhin,Meta,Pytorch SWE,shoumikhin,shoumikhin
Anthropic,Anthropic,,AnthropicAI,anthropicai
Aran Komatsuzaki,EleutherAI,Lead Researcher,arankomatsuzaki,arankomatsuzaki
Ari Morcos,Meta,Research scientist,arimorcos,arismorcos
Ariel Herbert-Voss,Dixie Flatline,Head,adversariel,adversariel_
Arinbjörn Kolbeinsson,Evidation Health/Imperial College London,ML Scientist,arinbjornkol,arinbjornkol
Asli Celikyilmaz,FAIR / Meta,Research Manager,real_asli,karakizca
Azmine Toushik Wasi,"DILab,HYU/CIOL,SUST",AI Researcher,AzmineWasi,azminewasi
Ben Murdoch,Google,AI research,,ben.murdoch
Benedikt Kolbeinsson,Imperial College London,PhD,benediktkol,benediktkolbeinsson
Berivan Isik,Stanford,"PhD. Scalable & trustworthy ML, federated learning, compression, privacy, info. theory.",BerivanISIK,berivan.isik
Berivan Isik,Stanford,PhD,BerivanISIK,berivan.isik_
Bert Maher,Meta,"Principal Software Engineer, Pytorch",tensorbert,bertmaher
Bharath Ramsundar,Deep Forest Sciences,Founder/CEO,rbhar90,bharathramsundar
Bhavin Jawade,Univ of Buffalo,PhD Student,BhavinJawade,bhavin.jawade
Bhavul Gauri,Meta,Senior ML Eng,BhavulGauri,bhavulgauri
Bojan Tunguz,NVIDIA,ML/Data Scientist,tunguz,tunguz
Brandon Amos,MetaAI (FAIR),Research scientist,brandondamos,bdamos
Brian Wilt,Waymo,Eng/ML and head cheerleader,brianwilt,brianwilt
Candace Ross,Meta,Postdoc,candacerossio,candyyyyygirl
Carly Taylor,Activision,ML for Call of Duty,carlymachinelearning,carlymachinelearning
Caroline Lo,Meta,ML/DS,,watsuen
Charles Vardeman,"Center for Research Computing, University of Notre Dame","Research Assistant Professor, Computational Scientist.",CharlesVardeman,charlesvardeman
Chris Albon,Wikimedia,Director of ML,chrisalbon,chrisalbon
Chris Olah,Anthropic,"Research, Interpretability",ch402,olahchristopher
Christopher Manning,Stanford AI Lab,Director,chrmanning,chrrmanning
Clem Delangue,Hugging Face,CEO/co-founder,ClementDelangue,clementdelangue
Dan Roy,"Univ of Toronto, CIFAR","Scientist, Assoc Prof of Stats/CS, AI Chair of CIFAR",roydanroy,roydanroy
Daniel Breen,ML Insights: AI Unpacking AI Papers,Podcaster,,dnlbreen
Daniel Eth,self employed,,daniel_271828,daniel_271828
Daniel McKee,University of Illinois,PhD Student,danielbmckee,danielbmckee
David Ha,"formerly Stability AI, Google Brain",,hardmaru,hardmaru
Davit Soselia,University of Maryland,grad student,DavitSoselia_,davit_soselia
Daylen Yang,Waymo,Staff software engineer,daylenyang,daylenyang
Delip Rao,Allen Institute of AI,Entrepreneur in Residence,deliprao,delip.rao
Desi R. Ivanova,Oxford,DPhil in Statistics,desirivanova,drivanova1
Devi Parikh,Meta,"Research Director, Generative AI",deviparikh,deviparikh
Dhruv Batra,"MetaAI, Georgia Tech","Research Director, Professor",DhruvBatraDB,dhruvbatradb
Dillon Niederhut,Novi Labs,Lead Data Scientist,dillon.niederhut,dillon.niederhut
Diptanu Choudhury,Meta,AI and Distributed Systems,diptanu,diptanuc
Divam Gupta,Meta,AI for VR,divamgupta,divamgupta
Diyi Yang,Stanford AI Lab,Assistant Professor,Diyi_Yang,diyiy
Dominik Kohlbacher,FH Joanneum,Industrial Engineer in Smart Production & ML Enthusiast,aka_kui,kuidaumpf
Dumitru Erhan,DeepMind,ML Researcher,doomie,doomie
Edward Z. Yang,Meta,work on Pytorch,ezyang,ezyang00
Elias Stengel-Eskin,Center for Language and Speech Processing at Johns Hopkins,PhD Candidate,EliasEskin,eliasstengel
Elisa Kreiss,UCLA,Incoming Assistant Professor,ElisaKreiss,elisakreiss
Elvis Saravia,DAIR,Machine Learning & NLP,omarsar0,omarsar0
Erik Brynjolfsson,StanfordHAI,Professor,erikbryn,erikbryn
Ethan Mollick,Wharton,Professor,emollick,ethan_mollick
Eugene Vinitsky,NYU,Asst Prof,eugenevinitsky,vinitsky.eugene
Eugene Yan,Amazon,"Building ml, recsys, & llm systems",eugeneyan,eugeneyan
Franz Louis Cesista,Expedock,ML & Data SWE,leloykun,leloykun
Fu-Jen Chu,FAIR,Research Scientist,FuJenChu1,fujenchu
Gabriel Synnaeve,"Meta AI, Meta Reality Labs Research – FAIR",Research Scientist Manager,syhw,gabrielsynnaeve
Gargi Ghosh,MetaAI,,,its_gargi_ghosh
Gautam Kamath,Univ of Waterloo,Asst Prof,thegautamkamath,thegautamkamath
Giovanni Alcantara,Meta,AI,gvnalc,gvnalc
Google DeepMind,Google DeepMind,,GoogleDeepMind,googledeepmind
